name,url,description,test_type,remote_testing,adaptive_irt,duration,languages,job_levels
Problem Solving Advanced,https://www.shl.com/products/product-catalog/view/problem-solving-advanced/,Advanced problem-solving assessment measuring analytical and strategic thinking skills.,K,True,True,35 minutes,English,Manager
Quantitative Analysis,https://www.shl.com/products/product-catalog/view/quantitative-analysis/,"Assesses numerical analysis skills including financial data, statistics, and business metrics.",K,True,True,30 minutes,English,Manager
Data Interpretation,https://www.shl.com/products/product-catalog/view/data-interpretation/,"Evaluates ability to interpret complex data sets, charts, and statistical information.",K,True,True,25 minutes,English,Professional
Business Acumen,https://www.shl.com/products/product-catalog/view/business-acumen/,"Assesses understanding of business concepts, financial literacy, and commercial awareness.",K,True,False,35 minutes,English,Manager
Financial Analysis,https://www.shl.com/products/product-catalog/view/financial-analysis/,"Financial analysis assessment covering ratios, statements, valuation, and financial modeling.",K,True,False,40 minutes,English,Manager
Attention to Detail,https://www.shl.com/products/product-catalog/view/attention-to-detail/,Assesses accuracy and thoroughness in identifying errors and inconsistencies in information.,K,True,False,20 minutes,English,Entry
Error Checking,https://www.shl.com/products/product-catalog/view/error-checking/,Measures ability to identify mistakes and inconsistencies in text and numerical data.,K,True,False,18 minutes,English,Entry
Work Personality Index,https://www.shl.com/products/product-catalog/view/work-personality-index/,Comprehensive personality assessment measuring traits relevant to workplace success.,P,True,False,30 minutes,"English, Spanish",All Levels
Emotional Intelligence,https://www.shl.com/products/product-catalog/view/emotional-intelligence/,"Assesses emotional awareness, empathy, and ability to manage emotions in workplace settings.",P,True,False,25 minutes,English,All Levels
Stress Tolerance,https://www.shl.com/products/product-catalog/view/stress-tolerance/,Evaluates ability to maintain performance under pressure and manage workplace stress.,P,True,False,20 minutes,English,Professional
Resilience Assessment,https://www.shl.com/products/product-catalog/view/resilience-assessment/,"Measures adaptability, perseverance, and ability to recover from setbacks.",P,True,False,22 minutes,English,Professional
Team Collaboration,https://www.shl.com/products/product-catalog/view/team-collaboration/,"Assesses teamwork skills including cooperation, communication, and conflict resolution.",P,True,False,25 minutes,"English, Spanish",All Levels
Leadership Potential,https://www.shl.com/products/product-catalog/view/leadership-potential/,"Identifies leadership qualities including vision, influence, and decision-making style.",P,True,False,30 minutes,English,Manager
Strategic Thinking,https://www.shl.com/products/product-catalog/view/strategic-thinking/,Assesses ability to think strategically and align actions with organizational goals.,P,True,False,30 minutes,English,Manager
Change Management,https://www.shl.com/products/product-catalog/view/change-management/,Evaluates ability to lead and adapt to organizational change initiatives.,P,True,False,25 minutes,English,Manager
Innovation Mindset,https://www.shl.com/products/product-catalog/view/innovation-mindset/,"Measures creativity, openness to new ideas, and ability to drive innovation.",P,True,False,25 minutes,English,Professional
Cultural Fit Assessment,https://www.shl.com/products/product-catalog/view/cultural-fit-assessment/,"Evaluates alignment with organizational values, culture, and work environment.",P,True,False,20 minutes,"English, Spanish",All Levels
Remote Work Readiness,https://www.shl.com/products/product-catalog/view/remote-work-readiness/,"Assesses self-motivation, communication, and effectiveness in remote work settings.",P,True,False,22 minutes,English,All Levels
Conflict Management,https://www.shl.com/products/product-catalog/view/conflict-management/,Identifies preferred approach to handling workplace conflicts and disagreements.,P,True,False,20 minutes,English,Professional
Communication Styles,https://www.shl.com/products/product-catalog/view/communication-styles/,Assesses communication preferences and effectiveness across different contexts.,P,True,False,22 minutes,"English, Spanish",All Levels
Negotiation Skills,https://www.shl.com/products/product-catalog/view/negotiation-skills/,Evaluates ability to negotiate effectively and reach mutually beneficial agreements.,P,True,False,25 minutes,English,Professional
Time Management,https://www.shl.com/products/product-catalog/view/time-management/,"Evaluates prioritization, planning, and time management effectiveness.",P,True,False,20 minutes,English,All Levels
Decision Making Style,https://www.shl.com/products/product-catalog/view/decision-making-style/,"Identifies decision-making approach including analytical, intuitive, and collaborative styles.",P,True,False,25 minutes,English,Professional
Achievement Orientation,https://www.shl.com/products/product-catalog/view/achievement-orientation/,"Measures drive for results, goal-setting behavior, and performance motivation.",P,True,False,22 minutes,English,Professional
Service Orientation,https://www.shl.com/products/product-catalog/view/service-orientation/,"Evaluates customer focus, helpfulness, and dedication to serving others.",P,True,False,20 minutes,"English, Spanish",Entry
Adaptability Scale,https://www.shl.com/products/product-catalog/view/adaptability-scale/,"Measures flexibility, openness to change, and ability to adjust to new situations.",P,True,False,20 minutes,English,All Levels
Social Intelligence,https://www.shl.com/products/product-catalog/view/social-intelligence/,Evaluates ability to understand social dynamics and navigate interpersonal situations.,P,True,False,25 minutes,English,Professional
Managerial Judgment,https://www.shl.com/products/product-catalog/view/managerial-judgment/,"Assesses judgment in management scenarios including people, tasks, and resources.",P,True,False,30 minutes,English,Manager
Sales Personality,https://www.shl.com/products/product-catalog/view/sales-personality/,Identifies personality traits associated with sales success including drive and resilience.,P,True,False,25 minutes,English,Professional
Coaching Orientation,https://www.shl.com/products/product-catalog/view/coaching-orientation/,Evaluates interest and ability in developing and coaching others.,P,True,False,22 minutes,English,Manager
Software Engineer Complete,https://www.shl.com/products/product-catalog/view/software-engineer-complete/,Comprehensive software engineer assessment combining coding skills with collaboration and problem-solving style.,"K, P",True,False,70 minutes,English,Professional
Data Analyst Complete,https://www.shl.com/products/product-catalog/view/data-analyst-complete/,"Complete data analyst assessment covering technical skills, analytical thinking, and communication.","K, P",True,False,65 minutes,English,Professional
Product Manager Assessment,https://www.shl.com/products/product-catalog/view/product-manager-assessment/,Integrated product management assessment combining analytical ability with leadership and influence.,"K, P",True,True,60 minutes,English,Manager
UX Designer Assessment,https://www.shl.com/products/product-catalog/view/ux-designer-assessment/,"UX design assessment combining creative thinking, user empathy, and technical execution.","K, P",True,False,55 minutes,English,Professional
Business Analyst Complete,https://www.shl.com/products/product-catalog/view/business-analyst-complete/,Comprehensive business analyst assessment covering analysis skills and stakeholder management.,"K, P",True,False,60 minutes,English,Professional
DevOps Engineer Complete,https://www.shl.com/products/product-catalog/view/devops-engineer-complete/,Integrated DevOps assessment combining technical skills with collaboration and problem-solving.,"K, P",True,False,65 minutes,English,Professional
Technical Manager Battery,https://www.shl.com/products/product-catalog/view/technical-manager-battery/,Comprehensive technical manager assessment covering technical depth and people leadership.,"K, P",True,True,75 minutes,English,Manager
Consulting Analyst,https://www.shl.com/products/product-catalog/view/consulting-analyst/,Consulting assessment combining analytical reasoning with client communication and influence.,"K, P",True,False,60 minutes,English,Professional
Finance Professional,https://www.shl.com/products/product-catalog/view/finance-professional/,Finance professional assessment covering quantitative skills and business judgment.,"K, P",True,False,65 minutes,English,Professional
Marketing Manager Complete,https://www.shl.com/products/product-catalog/view/marketing-manager-complete/,Marketing manager assessment combining analytical skills with creativity and leadership.,"K, P",True,False,60 minutes,English,Manager
